title;text_cleaning;category;target_class
Surely You're Joking, Mr. Feynman!;surely youre joking mr feynman;Biography & Autobiography;general
What Do You Care What Other People Think?;care people think;Biography & Autobiography;general
10% Happier;happier;Buddhism;general
100 Best-Loved Poems;bestloved poem;Poetry;general
100 Great Operas And Their Stories;great opera story;Music;general
100 Plus;plus;Medical;general
12 Rules for Life;rule life;Psychology;general
13 Secrets for Speaking Fluent Japanese;secret speaking fluent japanese;Foreign Language Study;general
13 Things That Don't Make Sense;thing dont make sense;Science;general
18 Platoon;platoon;Great Britain;general
1944;1944;Biography & Autobiography;general
1984;1984;Fiction;general
1Q84;q;Fiction;general
21 Lessons for the 21st Century;lesson st century;History;general
300 Arguments;argument;Literary Collections;general
36 Arguments for the Existence of God;argument existence god;Fiction;general
40 Chances;chance;Biography & Autobiography;general
48 Days to the Work You Love;day work love;Religion;general
5/3/1;531;Exercise;general
59 Seconds;second;Psychology;general
61 Hours;hour;Fiction;general
7 Powers;power;Business & Economics;general
A Brief History of Everything;brief history everything;Philosophy;social-humanaria
A Brief History of Time;brief history time;Science;social-humanaria
A Champion's Mind;champion mind;Biography & Autobiography;general
A Christmas Carol;christmas carol;no_category;general
A Clash of Kings;clash king;Fiction;general
A Collection of Essays;collection essay;Literary Criticism;general
A Comprehensive Introduction to Differential Geometry;comprehensive introduction differential geometry;Mathematics;sains-tech
A Confederacy of Dunces;confederacy dunce;Fiction;general
A Course in Mathematical Analysis;course mathematical analysis;History;sains-tech
A Course in Miracles;course miracle;Self-Help;general
A Cultural History of Physics;cultural history physic;Mathematics;sains-tech
A Culture of Growth;culture growth;Business & Economics;social-humanaria
A Curious Discovery;curious discovery;Biography & Autobiography;general
A Curious Mind;curious mind;Biography & Autobiography;general
A Dance with Dragons;dance dragon;Fiction;general
A Fan's Notes;fan note;Fiction;general
A Farewell to Arms;farewell arm;Fiction;general
A Feast for Crows;feast crow;Fiction;general
A Feast of Snakes;feast snake;Fiction;general
A Few Lessons for Investors and Managers From Warren Buffett;lesson investor manager warren buffett;Investments;social-humanaria
A Field Guide to Getting Lost;field guide getting lost;Philosophy;general
A Fine Balance;fine balance;Fiction;general
A Full Life;full life;Biography & Autobiography;general
A Game of Thrones;game throne;Fantasy fiction;general
A Gentleman in Moscow;gentleman moscow;Fiction;general
A Giacometti Portrait;giacometti portrait;Art;general
A Good Man;good man;Biography & Autobiography;general
A Grain of Wheat;grain wheat;Fiction;general
A Guide to LATEX;guide latex;Computers;sains-tech
A Guide to the Good Life;guide good life;Psychology;general
A Guide to the I Ching;guide ching;Body, Mind & Spirit;general
A Heartbreaking Work of Staggering Genius;heartbreaking work staggering genius;Biography & Autobiography;social-humanaria
A Higher Loyalty;higher loyalty;Biography & Autobiography;general
A History of Civilizations;history civilization;History;social-humanaria
A History of Economic Theory;history economic theory;Business & Economics;social-humanaria
A History of Religious Ideas, Vol. 1;history religious idea vol;Religion;social-humanaria
A History of Religious Ideas, Vol. 2;history religious idea vol;Religion;social-humanaria
