title;text_cleaning;title_preprocessing;target_class
Surely You're Joking, Mr. Feynman!;surely youre joking mr feynman;['surely', 'youre', 'joking', 'mr', 'feynman'];general
What Do You Care What Other People Think?;care people think;['care', 'people', 'think'];general
10% Happier;happier;['happier'];general
100 Best-Loved Poems;bestloved poem;['bestloved', 'poem'];general
100 Great Operas And Their Stories;great opera story;['great', 'opera', 'story'];general
100 Plus;plus;['plus'];sains-tech
12 Rules for Life;rule life;['rule', 'life'];sains-tech
13 Secrets for Speaking Fluent Japanese;secret speaking fluent japanese;['secret', 'speaking', 'fluent', 'japanese'];general
13 Things That Don't Make Sense;thing dont make sense;['thing', 'dont', 'make', 'sense'];sains-tech
18 Platoon;platoon;['platoon'];general
1944;1944;['1944'];general
1984;1984;['1984'];general
1Q84;q;['q'];general
21 Lessons for the 21st Century;lesson st century;['lesson', 'st', 'century'];general
300 Arguments;argument;['argument'];general
36 Arguments for the Existence of God;argument existence god;['argument', 'existence', 'god'];general
40 Chances;chance;['chance'];general
48 Days to the Work You Love;day work love;['day', 'work', 'love'];general
5/3/1;531;['531'];general
59 Seconds;second;['second'];sains-tech
61 Hours;hour;['hour'];general
7 Powers;power;['power'];general
A Brief History of Everything;brief history everything;['brief', 'history', 'everything'];social-humanaria
A Brief History of Time;brief history time;['brief', 'history', 'time'];sains-tech
A Champion's Mind;champion mind;['champion', 'mind'];general
A Christmas Carol;christmas carol;['christmas', 'carol'];general
A Clash of Kings;clash king;['clash', 'king'];general
A Collection of Essays;collection essay;['collection', 'essay'];general
A Comprehensive Introduction to Differential Geometry;comprehensive introduction differential geometry;['comprehensive', 'introduction', 'differential', 'geometry'];sains-tech
A Confederacy of Dunces;confederacy dunce;['confederacy', 'dunce'];general
A Course in Mathematical Analysis;course mathematical analysis;['course', 'mathematical', 'analysis'];sains-tech
A Course in Miracles;course miracle;['course', 'miracle'];general
A Cultural History of Physics;cultural history physic;['cultural', 'history', 'physic'];sains-tech
A Culture of Growth;culture growth;['culture', 'growth'];social-humanaria
A Curious Discovery;curious discovery;['curious', 'discovery'];general
A Curious Mind;curious mind;['curious', 'mind'];general
A Dance with Dragons;dance dragon;['dance', 'dragon'];general
A Fan's Notes;fan note;['fan', 'note'];general
A Farewell to Arms;farewell arm;['farewell', 'arm'];general
A Feast for Crows;feast crow;['feast', 'crow'];general
A Feast of Snakes;feast snake;['feast', 'snake'];general
A Few Lessons for Investors and Managers From Warren Buffett;lesson investor manager warren buffett;['lesson', 'investor', 'manager', 'warren', 'buffett'];social-humanaria
A Field Guide to Getting Lost;field guide getting lost;['field', 'guide', 'getting', 'lost'];general
A Fine Balance;fine balance;['fine', 'balance'];general
A Full Life;full life;['full', 'life'];general
A Game of Thrones;game throne;['game', 'throne'];general
A Gentleman in Moscow;gentleman moscow;['gentleman', 'moscow'];general
A Giacometti Portrait;giacometti portrait;['giacometti', 'portrait'];general
A Good Man;good man;['good', 'man'];general
A Grain of Wheat;grain wheat;['grain', 'wheat'];general
A Guide to LATEX;guide latex;['guide', 'latex'];sains-tech
A Guide to the Good Life;guide good life;['guide', 'good', 'life'];sains-tech
A Guide to the I Ching;guide ching;['guide', 'ching'];general
A Heartbreaking Work of Staggering Genius;heartbreaking work staggering genius;['heartbreaking', 'work', 'staggering', 'genius'];social-humanaria
A Higher Loyalty;higher loyalty;['higher', 'loyalty'];general
A History of Civilizations;history civilization;['history', 'civilization'];social-humanaria
A History of Economic Theory;history economic theory;['history', 'economic', 'theory'];social-humanaria
A History of Religious Ideas, Vol. 1;history religious idea vol;['history', 'religious', 'idea', 'vol'];social-humanaria
A History of Religious Ideas, Vol. 2;history religious idea vol;['history', 'religious', 'idea', 'vol'];social-humanaria
A History of Religious Ideas, Vol. 3;history religious idea vol;['history', 'religious', 'idea', 'vol'];social-humanaria
A History of Rome;history rome;['history', 'rome'];social-humanaria
A History of Western Technology;history western technology;['history', 'western', 'technology'];sains-tech
A History of World Agriculture;history world agriculture;['history', 'world', 'agriculture'];social-humanaria
A History of the World in 100 Objects;history world object;['history', 'world', 'object'];social-humanaria
A House for Mr. Biswas;house mr biswas;['house', 'mr', 'biswas'];general
A Hunger Artist;hunger artist;['hunger', 'artist'];social-humanaria
A Lesson Before Dying;lesson dying;['lesson', 'dying'];general
A Little Life;little life;['little', 'life'];general
A Man Without Breath;man without breath;['man', 'without', 'breath'];general
A Manual for Living;manual living;['manual', 'living'];general
A Map of the World;map world;['map', 'world'];general
A Mathematician's Apology;mathematician apology;['mathematician', 'apology'];sains-tech
A Matter of Degrees;matter degree;['matter', 'degree'];sains-tech
A Message To Garcia;message garcia;['message', 'garcia'];general
A Million Little Pieces;million little piece;['million', 'little', 'piece'];general
A Mind at Home with Itself;mind home;['mind', 'home'];general
A Mind at Play;mind play;['mind', 'play'];general
A New Earth;new earth;['new', 'earth'];sains-tech
A New Kind of Science;new kind science;['new', 'kind', 'science'];general
A Path with Heart;path heart;['path', 'heart'];social-humanaria
A Pattern Language;pattern language;['pattern', 'language'];general
A Peace to End All Peace;peace end peace;['peace', 'end', 'peace'];general
A People's History of the United States;people history united state;['people', 'history', 'united', 'state'];social-humanaria
A Piece of the Action;piece action;['piece', 'action'];general
A Planet of Viruses;planet virus;['planet', 'virus'];sains-tech
A Plea for the Animals;plea animal;['plea', 'animal'];sains-tech
A Programming Language;programming language;['programming', 'language'];sains-tech
A Quiet Flame;quiet flame;['quiet', 'flame'];general
A Rap on Race;rap race;['rap', 'race'];general
A River Runs Through It;river run;['river', 'run'];general
A Sand County Almanac and Sketches Here and There;sand county almanac sketch;['sand', 'county', 'almanac', 'sketch'];general
A Second Chance;second chance;['second', 'chance'];general
A Sense of Where You Are;sense;['sense'];general
A Separate Peace;separate peace;['separate', 'peace'];general
