title,author,google_id,recommender,recommender_count,category,publication_date,pages,image,url_image,Unnamed: 4,target_class
"Surely You're Joking, Mr. Feynman!",Richard P. Feynman,_gA_DwAAQBAJ,Brian Armstrong|Ev Williams|Larry Page|Mark Zuckerberg|Naval Ravikant|Noah Kagan|Peter Attia|Tim Ferriss,8,Biography & Autobiography,2018,352.0,,,,general
What Do You Care What Other People Think?,Richard P. Feynman,vbMIlkpQXEkC,Larry Page|Naval Ravikant,2,Biography & Autobiography,2011,256.0,,,,general
10% Happier,Dan Harris,pINcvgEACAAJ,Peter Attia|Veronica Belmont,2,Buddhism,2017,256.0,,,,general
100 Best-Loved Poems,Philip Smith,YzRKPwAACAAJ,Naval Ravikant,1,Poetry,1995,96.0,,,,general
100 Great Operas And Their Stories,Henry W. Simon,KEfSAOggWXwC,Eric Weinstein,1,Music,2010,560.0,,,,general
100 Plus,Sonia Arrison,fG3eW9PG-50C,Peter Thiel,1,Medical,2011,272.0,,,,general
12 Rules for Life,Jordan Peterson,TvEqDAAAQBAJ,George Raveling|Jocko Willink|Marc Andreessen|Naval Ravikant,4,Psychology,2018,320.0,,,,general
13 Secrets for Speaking Fluent Japanese,Giles Murray,fORKMgEACAAJ,Tim Ferriss,1,Foreign Language Study,2012,173.0,,,,general
13 Things That Don't Make Sense,Michael Brooks,euuftB3bkUgC,Bill Gates,1,Science,2010,240.0,,,,general
18 Platoon,Jary,NYTxAAAACAAJ,Jocko Willink,1,Great Britain,1994,138.0,,,,general
1944,Jay Winik,N8uNCgAAQBAJ,Keith Rabois,1,Biography & Autobiography,2015,656.0,,,,general
1984,George Orwell,kotPYEqx7kMC,Emma Watson|Jordan Peterson|Matt Mullenweg|Richard Branson|Tristan Harris,5,Fiction,1983,648.0,,,,general
1Q84,Haruki Murakami,PdwP909jJ7YC,Adam Savage,1,Fiction,2012,438.0,,,,general
21 Lessons for the 21st Century,Yuval Noah Harari,MSKEDwAAQBAJ,Bill Gates|Jack Dorsey|Joe Rogan|Vinod Khosla,4,History,2019,400.0,,,,general
300 Arguments,Sarah Manguso,FmZoDwAAQBAJ,Frank Blake,1,Literary Collections,2018,96.0,,,,general
36 Arguments for the Existence of God,Rebecca Goldstein,TyyJJcED_2IC,Steven Pinker,1,Fiction,2011,506.0,,,,general
40 Chances,Howard G Buffett,8YHEYQ4BcysC,Warren Buffett,1,Biography & Autobiography,2013,464.0,,,,general
48 Days to the Work You Love,Dan Miller,wdN_4Zd5NE4C,Dave Ramsey,1,Religion,2007,224.0,,,,general
5/3/1,Jim Wendler,lsEKywAACAAJ,Mark Bell,1,Exercise,2011,102.0,,,,general
59 Seconds,Richard Wiseman,32kPHcoU2EYC,Charles Poliquin,1,Psychology,2009,240.0,,,,general
61 Hours,Lee Child,ys_e1Jaxh4UC,Malcolm Gladwell,1,Fiction,2010,400.0,,,,general
7 Powers,Hamilton Helmer,heEuvgAACAAJ,Keith Rabois,1,Business & Economics,2016,210.0,,,,general
A Brief History of Everything,Ken Wilber,c9shMX7HLY0C,Dave Elitch,1,Philosophy,2007,548.0,,,,social-humanaria
A Brief History of Time,Stephen Hawking,oZhagX6UWOMC,Richard Branson,1,Science,2011,224.0,,,,social-humanaria
A Champion's Mind,Pete Sampras,TXr0fNBuBigC,Bill Gates,1,Biography & Autobiography,2009,306.0,,,,general
A Christmas Carol,Charles Dickens,f8ANAAAAQAAJ,Larry King,1,,1858,100.0,,,,general
A Clash of Kings,George R. R. Martin,LvOUDwAAQBAJ,Elon Musk,1,Fiction,2019,752.0,,,,general
A Collection of Essays,George Orwell,2PXLskAHQE4C,Gretchen Rubin,1,Literary Criticism,1970,324.0,,,,general
A Comprehensive Introduction to Differential Geometry,Michael Spivak,m6UrAAAAYAAJ,Eric Weinstein|Eric Weinstein|Eric Weinstein|Eric Weinstein|Eric Weinstein,5,Mathematics,1979,423.0,,,,sains-tech
A Confederacy of Dunces,John Kennedy Toole,Hg0jKHsj6DMC,Jerrod Carmichael|Jesse Williams,2,Fiction,2007,416.0,,,,general
A Course in Mathematical Analysis,Douard Goursat,lBSLlvRD1CYC,Patrick Collison,1,History,2009,274.0,,,,sains-tech
A Course in Miracles,Dr. Helen Schucman,LwB1DwAAQBAJ,Ed Latimore,1,Self-Help,2018,312.0,,,,general
A Cultural History of Physics,Károly Simonyi,Bmcpsgp-Ml4C,Naval Ravikant,1,Mathematics,2012,636.0,,,,sains-tech
A Culture of Growth,Joel Mokyr,z22YDwAAQBAJ,Patrick Collison,1,Business & Economics,2016,400.0,,,,social-humanaria
A Curious Discovery,John S. Hendricks,wG3PMgEACAAJ,Mike Rowe,1,Biography & Autobiography,2013,384.0,,,,general
A Curious Mind,Brian Grazer,B08ADAAAQBAJ,Karlie Kloss,1,Biography & Autobiography,2016,320.0,,,,general
A Dance with Dragons,George R. R. Martin,uPqLDQAAQBAJ,Elon Musk,1,Fiction,2015,1152.0,,,,general
A Fan's Notes,Frederick Exley,uLeXn9z8lwwC,Richard Betts,1,Fiction,2010,400.0,,,,general
A Farewell to Arms,Ernest Hemingway,2_XH0Z81_ZEC,Jordan Peterson,1,Fiction,1997,305.0,,,,general
A Feast for Crows,George R. R. Martin,fdSJDQAAQBAJ,Elon Musk,1,Fiction,2014,1060.0,,,,general
A Feast of Snakes,Harry Crews,eGgUjNJfZeQC,Cal Fussman,1,Fiction,1998,192.0,,,,general
A Few Lessons for Investors and Managers From Warren Buffett,Peter Bevelin,_LGhMwEACAAJ,Warren Buffett,1,Investments,2012,81.0,,,,social-humanaria
A Field Guide to Getting Lost,Rebecca Solnit,gGUAb9D9qOwC,Matt Mullenweg|Sarah Lewis,2,Philosophy,2010,224.0,,,,general
A Fine Balance,Rohinton Mistry,WcaFd95RABEC,Jacqueline Novogratz|Oprah Winfrey,2,Fiction,2010,624.0,,,,general
A Full Life,Jimmy Carter,G-upDAAAQBAJ,Bill Gates|Richard Branson,2,Biography & Autobiography,2016,272.0,,,,general
A Game of Thrones,George R. R. Martin,72aHpwAACAAJ,Elon Musk,1,Fantasy fiction,2011,864.0,,,,general
A Gentleman in Moscow,Amor Towles,-9CLDwAAQBAJ,Bill Gates,1,Fiction,2019,496.0,,,,general
A Giacometti Portrait,James Lord,OIdxFO6USZYC,Rainn Wilson,1,Art,1980,117.0,,,,general
A Good Man,Mark Shriver,-9xnMgEACAAJ,Bryan Johnson,1,Biography & Autobiography,2013,288.0,,,,general
A Grain of Wheat,Ngugi wa Thiong'o,whsbJogawqEC,Barack Obama,1,Fiction,1986,247.0,,,,general
A Guide to LATEX,Helmut Kopka,HptVAAAAMAAJ,Eric Weinstein,1,Computers,1999,600.0,,,,sains-tech
A Guide to the Good Life,William B. Irvine,yQ59JV_9AfIC,David Heinemeier Hansson|Derek Sivers|Jason Fried|Marc Andreessen|Phil Libin|Tobi Lütke,6,Psychology,2008,336.0,,,,general
A Guide to the I Ching,Carol K. Anthony,-VoMMQAACAAJ,Jimmy Chin,1,"Body, Mind & Spirit",1988,314.0,,,,general
A Heartbreaking Work of Staggering Genius,Dave Eggers,OSfpEJpJzrIC,Ev Williams,1,Biography & Autobiography,2013,416.0,,,,social-humanaria
A Higher Loyalty,James Comey,4CovDwAAQBAJ,Marc Andreessen,1,Biography & Autobiography,2018,416.0,,,,general
A History of Civilizations,Fernand Braudel,im_HHEpf-msC,Stewart Brand,1,History,1995,600.0,,,,social-humanaria
A History of Economic Theory,Jürg Niehans,Qn8NBYTugoYC,Eric Weinstein,1,Business & Economics,1994,578.0,,,,social-humanaria
"A History of Religious Ideas, Vol. 1",Mircea Eliade,hZ33xQEACAAJ,Jordan Peterson,1,Religion,1984,,,,,social-humanaria
"A History of Religious Ideas, Vol. 2",Mircea Eliade,qWBGxgEACAAJ,Jordan Peterson,1,Religion,1978,,,,,social-humanaria
"A History of Religious Ideas, Vol. 3",Mircea Eliade,hZ33xQEACAAJ,Jordan Peterson,1,Religion,1984,,,,,social-humanaria
A History of Rome,Moses Hadas,1FPjzAEACAAJ,Paul Graham,1,Rome,1956,305.0,,,,social-humanaria
A History of Western Technology,Friedrich Klemm,zbUIuwEACAAJ,Nick Szabo,1,Science,1964,401.0,,,,sains-tech
A History of World Agriculture,Marcel Mazoyer,VDIVCgAAQBAJ,Sam Kass,1,Business & Economics,2006,528.0,,,,social-humanaria
A History of the World in 100 Objects,Neil MacGregor,P9yDiLwxJQ4C,Stewart Brand,1,History,2011,736.0,,,,social-humanaria
A House for Mr. Biswas,V. S. Naipaul,E815CgAAQBAJ,Barack Obama,1,Fiction,2016,,,,,general
A Hunger Artist,Franz Kafka,F_94DwAAQBAJ,David Blaine,1,Fiction,2017,8.0,,,,social-humanaria
A Lesson Before Dying,Ernest J. Gaines,P4rq2Jv--wwC,Oprah Winfrey,1,Study Aids,2002,72.0,,,,general
A Little Life,Hanya Yanagihara,2caVCwAAQBAJ,Soman Chainani,1,Fiction,2016,736.0,,,,general
A Man Without Breath,Philip Kerr,k6e55ucYukkC,Lewis Cantley,1,Fiction,2013,384.0,,,,general
A Manual for Living,Epictetus,cofP7FbBfAgC,Neville Medhora,1,Religion,1994,96.0,,,,general
A Map of the World,Jane Hamilton,tYjP7_GBTM4C,Oprah Winfrey,1,Fiction,2010,400.0,,,,general
A Mathematician's Apology,G. H. Hardy,beImvXUGD-MC,Paul Graham,1,Mathematics,1992,153.0,,,,sains-tech
A Matter of Degrees,Gino Segre,pZ4RAQAAIAAJ,Charlie Munger,1,Science,2002,300.0,,,,general
A Message To Garcia,Elbert Hubbard,bgDDDwAAQBAJ,Joe De Sena,1,Fiction,2019,263.0,,,,general
A Million Little Pieces,James Frey,6LJbIWnNpOkC,Oprah Winfrey,1,Biography & Autobiography,2003,352.0,,,,general
A Mind at Home with Itself,Byron Katie,2kTKDQAAQBAJ,Graham Duncan|Tony Robbins,2,Self-Help,2017,336.0,,,,general
A Mind at Play,Jimmy Soni,gygsDwAAQBAJ,Bryan Johnson|Paul Graham,2,Biography & Autobiography,2017,384.0,,,,general
A New Earth,Eckhart Tolle,0hRhvgEACAAJ,Aubrey Marcus|Oprah Winfrey,2,Spiritual life,2009,313.0,,,,sains-tech
A New Kind of Science,Stephen Wolfram,W0GjvgEACAAJ,Steve Jurvetson,1,,2018,1193.0,,,,general
